unique_id,source,company,scrip_code,headline,published_date,url,event_type,priority,research_score,research_status,raw_text,collected_at
bc35a3f442b51fcb,BSE,Welspun Enterprises Ltd,532553,"Welspun Enterprisers has informed the exchange about receiving of Letter of Award by Welspun Michigan Engineers Limited, Material Subsidiary of the Company",20-Sep-2026 10:37:50,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9fb3dab1-3a38-4a20-845b-45514f633f92.pdf,Large Order,HIGH,,NEW,"Welspun Enterprisers has informed the exchange about receiving of Letter of Award by Welspun Michigan Engineers Limited, Material Subsidiary of the Company",2026-09-20T08:44:54.066527+00:00
32349dccbd900d94,BSE,Aditya Birla Housing Finance Ltd,974978,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:53,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Management Change,MEDIUM,,NEW,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:44:54.049105+00:00
